2025-05-09 08:12:38,395 INFO    MainThread:215770 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7.dev1
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_setup.py:_flush():67] Configure stats pid to 215770
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_setup.py:_flush():67] Loading settings from /home/tjh200/.config/wandb/settings
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_setup.py:_flush():67] Loading settings from /local/scratch/code/TROPHY/colon_data_analysis/CRIME/Develop/wandb/settings
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /local/scratch/code/TROPHY/colon_data_analysis/CRIME/Develop/wandb/run-20250509_081238-hb45bonk/logs/debug.log
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /local/scratch/code/TROPHY/colon_data_analysis/CRIME/Develop/wandb/run-20250509_081238-hb45bonk/logs/debug-internal.log
2025-05-09 08:12:38,396 INFO    MainThread:215770 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x76a9ec355e10>
2025-05-09 08:12:38,397 INFO    MainThread:215770 [wandb_init.py:init():761] calling init triggers
2025-05-09 08:12:38,397 INFO    MainThread:215770 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'dataset_config': 1, 'eval_on': 'train', 'num_to_use_per_class': 1000, 'threshold': 0.55, 'assume_model_classifications': False, 'model_class': 'SCNN_TPL3', 'num_training_folds': 2, 'num_val_test_folds': 2, 'prop_to_use': 1, 'sweep_id': 'wh844aab', 'vae_config': {'input_dim': 2403, 'hidden_dim': 256, 'latent_dim': 16, 'output_dim': 2403, 'learning_rate': 0.001, 'num_epochs': 128, 'beta': 0}, 'num_contexts': 21, '_wandb': {}}
2025-05-09 08:12:38,397 INFO    MainThread:215770 [wandb_init.py:init():784] starting backend
2025-05-09 08:12:38,397 INFO    MainThread:215770 [wandb_init.py:init():788] sending inform_init request
2025-05-09 08:12:38,400 INFO    MainThread:215770 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-09 08:12:38,400 INFO    MainThread:215770 [wandb_init.py:init():803] backend started and connected
2025-05-09 08:12:38,405 INFO    MainThread:215770 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-05-09 08:12:38,452 INFO    MainThread:215770 [wandb_init.py:init():896] updated telemetry
2025-05-09 08:12:38,460 INFO    MainThread:215770 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-05-09 08:12:38,791 INFO    MainThread:215770 [wandb_init.py:init():995] starting run threads in backend
2025-05-09 08:12:38,941 INFO    MainThread:215770 [wandb_run.py:_console_start():2377] atexit reg
2025-05-09 08:12:38,941 INFO    MainThread:215770 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-05-09 08:12:38,942 INFO    MainThread:215770 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-05-09 08:12:38,942 INFO    MainThread:215770 [wandb_run.py:_redirect():2317] Redirects installed.
2025-05-09 08:12:38,944 INFO    MainThread:215770 [wandb_init.py:init():1037] run started, returning control to user process
2025-05-09 08:12:38,949 INFO    MainThread:215770 [wandb_run.py:_finish():2112] finishing run tjh200-university-of-cambridge/TROPHY/hb45bonk
2025-05-09 08:12:38,949 INFO    MainThread:215770 [jupyter.py:save_history():458] not saving jupyter history
2025-05-09 08:12:38,949 INFO    MainThread:215770 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-05-09 08:12:38,949 INFO    MainThread:215770 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-05-09 08:12:38,949 INFO    MainThread:215770 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-05-09 08:12:38,949 INFO    MainThread:215770 [wandb_run.py:_restore():2324] restore
2025-05-09 08:12:38,950 INFO    MainThread:215770 [wandb_run.py:_restore():2330] restore done
2025-05-09 08:12:43,165 INFO    MsgRouterThr:215770 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-05-09 08:12:43,166 INFO    MainThread:215770 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-05-09 08:12:43,167 INFO    MainThread:215770 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-05-09 08:12:43,170 INFO    MainThread:215770 [wandb_run.py:_footer_sync_info():3919] logging synced files
